id,class_room_id,dayoftheWeek,from,to
822,4,mon,12:00,13:15
823,4,fri,10:30,11:45
824,11,tue,09:00,10:15
825,11,thu,09:00,10:15
826,6,wed,09:00,10:15
827,6,fri,09:00,10:15
828,6,wed,13:30,14:45
829,6,fri,13:30,14:45
830,104,mon,12:00,13:15
831,104,fri,10:30,11:45
832,104,mon,13:30,14:45
833,104,fri,12:00,13:15
834,151,mon,10:30,11:45
835,151,wed,12:00,13:15
836,5,tue,12:00,13:15
837,5,thu,12:00,13:15
838,155,mon,15:00,18:50
839,155,tue,15:00,18:50
840,155,wed,15:00,18:50
841,155,thu,15:00,18:50
842,155,fri,15:00,18:50
843,154,mon,10:30,11:45
844,154,wed,12:00,13:15
845,6,tue,10:30,11:45
846,6,thu,10:30,11:45
847,11,tue,13:30,14:45
848,11,thu,13:30,14:45
849,4,tue,12:00,13:15
850,4,thu,12:00,13:15
851,6,mon,13:30,14:45
852,6,fri,12:00,13:15
853,12,sat,09:00,11:45
854,151,thu,15:00,17:45
855,24,mon,09:00,10:15
856,24,wed,10:30,11:45
857,37,wed,15:00,16:15
858,37,fri,15:00,16:15
859,37,tue,13:30,14:45
860,37,thu,13:30,14:45
861,25,mon,16:30,17:45
862,25,fri,16:30,17:45
863,25,wed,09:00,10:15
864,25,fri,09:00,10:15
865,32,tue,12:00,13:15
866,32,thu,12:00,13:15
867,29,mon,10:30,11:45
868,29,wed,12:00,13:15
869,35,tue,10:30,11:45
870,35,thu,10:30,11:45
871,31,tue,15:00,16:15
872,31,thu,15:00,16:15
873,24,tue,16:30,17:45
874,24,thu,16:30,17:45
875,35,mon,13:30,14:45
876,35,fri,12:00,13:15
877,102,mon,16:30,17:45
878,102,fri,16:30,17:45
879,37,mon,15:00,16:15
880,37,wed,16:30,17:45
881,37,mon,09:00,10:15
882,37,wed,10:30,11:45
883,100,mon,15:00,16:15
884,100,wed,16:30,17:45
885,24,mon,12:00,13:15
886,24,fri,10:30,11:45
887,31,mon,12:00,13:15
888,31,fri,10:30,11:45
889,28,tue,09:00,10:15
890,28,thu,09:00,10:15
891,25,tue,13:30,14:45
892,25,thu,13:30,14:45
893,37,wed,13:30,14:45
894,37,fri,13:30,14:45
895,30,wed,09:00,10:15
896,30,fri,09:00,10:15
897,37,mon,10:30,11:45
898,37,wed,12:00,13:15
899,31,tue,12:00,13:15
900,31,thu,12:00,13:15
901,35,tue,09:00,10:15
902,35,thu,09:00,10:15
903,101,mon,18:00,20:45
904,99,mon,18:00,20:45
905,102,mon,18:00,20:45
906,100,mon,18:00,20:45
907,151,mon,15:00,16:15
908,151,wed,16:30,17:45
909,99,mon,15:00,16:15
910,99,wed,16:30,17:45
911,99,tue,12:00,13:15
912,99,thu,12:00,13:15
913,99,tue,13:30,14:45
914,99,thu,13:30,14:45
915,153,mon,16:30,22:15
916,153,mon,16:30,22:15
917,153,mon,16:30,22:15
918,153,mon,16:30,22:15
919,151,tue,10:30,11:45
920,151,thu,10:30,11:45
921,102,tue,12:00,13:15
922,102,thu,12:00,13:15
923,12,tue,13:30,14:45
